CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PI03260-2019;COORDENAÇÃO DE ADM E FINANÇAS - CATALA;Otimização de incorporação de cinzas de biomassa para produção de argamassas de assentamento e revestimento ;Engenharias - Engenharia Civil - Construção Civil - Materiais e Componentes de Construção;Sem Vínculo (Projeto Isolado);sim;HEBER MARTINS DE PAULA (DOCENTE - Coordenador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Colaborador), LUCAS SALOMAO RAEL DE MORAIS (SERVIDOR - Colaborador), WELLINGTON ANDRADE DA SILVA (DOCENTE - Vice-coodernador);01/03/2019 a 31/12/2021
PI03674-2019;INSTITUTO DE QUIMICA;Modelando Sistemas Moleculares de Interesse Atmosférico, Biológico e Tecnológico via Dinâmica Molecular ab initio;Ciências Exatas e da Terra - Física - Física Atômica e Molecular - Estrutura Eletrônica de Átomos e Moléculas  Teoria, Ciências Exatas e da Terra - Química - Físico-Química - Química Teórica;Tipo de vínculo desconhecido;sim;HEIBBE CRISTHIAN BENEDITO DE OLIVEIRA (DOCENTE - Coordenador);10/04/2019 a 10/04/2022
PI03033-2019;PRÓ REITORIA DE PESQUISA E INOVAÇÃO;Empreendedorismo e Incubação de Empresas na UFG ;Outras - Tecnologia e Inovação;Sem Vínculo (Projeto Isolado);sim;ALESSANDRA CRISTINA GOMES (DISCENTE - Colaborador), EMILIA ROSANGELA PIRES DA SILVA FRANCO (DISCENTE - Vice-coodernador), HELENA CARASEK CASCUDO (DOCENTE - Coordenador), JESIEL FREITAS CARVALHO (DOCENTE - Colaborador), JÉSSICA BORGES DE CARVALHO (DISCENTE - Colaborador), JOAO TEODORO PADUA (DOCENTE - Colaborador), LUIZ FERNANDO GONCALVES DA SILVA ARAUJO (SERVIDOR - Colaborador), LUIZMAR ADRIANO JUNIOR (SERVIDOR - Colaborador), LYZYÊ INÁCIO ALMEIDA (SERVIDOR - Colaborador), MARCEL FERRANTE SILVA (DOCENTE - Colaborador), MEIRE RAMALHO DE OLIVEIRA (DOCENTE - Colaborador), REJANE FARIA RIBEIRO ROTTA (DOCENTE - Colaborador);01/01/2019 a 31/12/2022
PI03113-2019;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;Comportamento crítico dinâmico em sistemas de spin e em modelos com estados absorventes;Ciências Exatas e da Terra - Física - Física da Matéria Condensada - Equação de Estado, Equilíbrio de Fases e Transições de Fase;Sem Vínculo (Projeto Isolado);sim;HENRIQUE ALMEIDA FERNANDES (DOCENTE - Coordenador), LUDMILA GREGO MAIA (DOCENTE - Colaborador), PAULO FREITAS GOMES (DOCENTE - Colaborador), ROBERTO DA SILVA (EXTERNO - Colaborador);01/01/2019 a 31/12/2023
PI03638-2019;ESCOLA DE MUSICA E ARTES CENICAS;Políticas públicas e educação da infância em Goiás: história, concepções, projetos e  práticas  ;Ciências Humanas - Educação - Ensino-Aprendizagem - Métodos e Técnicas de Ensino;Tipo de vínculo desconhecido;sim;FABIANA DE OLIVEIRA VIANA (DISCENTE - Colaborador), IVONE GARCIA BARBOSA (DOCENTE - Coordenador), JOANA D'ARC DOS SANTOS GOMES (EXTERNO - Colaborador), JOHNATAN DANILO SILVA ARAÚJO (DISCENTE - Colaborador), LETÍCIA BORGES DA COSTA (EXTERNO - Colaborador), MARCOS ANTONIO SOARES (DOCENTE - Vice-coodernador), NATASSIA DUARTE GARCIA LEITE DE OLIVEIRA (DOCENTE - Vice-coodernador), ORMILENE DE SOUZA SANTOS (DISCENTE - Colaborador), OTAIR FLOR DA SILVA JUNIOR (DISCENTE - Colaborador), TELMA APARECIDA TELES MARTINS SILVEIRA (EXTERNO - Colaborador);07/04/2019 a 31/12/2020
PI03566-2019;ESCOLA DE AGRONOMIA;MANEJO INTEGRADO DE PRAGAS VISANDO A REDUÇÃO DE AGROTÓXICOS NA CULTURA DO TOMATEIRO;Ciências Agrárias - Agronomia - Fitossanidade - Entomologia Agrícola;Tipo de vínculo desconhecido;sim;ABADIA DOS REIS NASCIMENTO (DOCENTE - Vice-coodernador), ANDRÉ JUNIO ANDRADE PERES (DISCENTE - Colaborador), CAIO ROBERTO LEÃO MACHADO (DISCENTE - Colaborador), DEBORAH LACERDA CORREA (DISCENTE - Colaborador), ERIKA CARLA DA SILVEIRA (EXTERNO - Vice-coodernador), GUSTAVO GALVÃO SANTANA (DISCENTE - Colaborador), JANETHE MACHADO BRANDÃO (DISCENTE - Colaborador), JAQUELINE MAGALHAES PEREIRA (DOCENTE - Coordenador), JESSICA FERREIRA SILVA (DISCENTE - Colaborador), JOÃO PEDRO CHAVES MAYER SANTOS (DISCENTE - Colaborador), KAROLINY ZARRETA SANTOS FREIRE (DISCENTE - Colaborador), MARCOS FERNANDES OLIVEIRA (SERVIDOR - Vice-coodernador), PAULO MARCAL FERNANDES (DOCENTE - Vice-coodernador), VANESSA PEREIRA CARVALHO (DISCENTE - Colaborador);07/01/2019 a 31/12/2021
PI03574-2019;FACULDADE DE ODONTOLOGIA;Utilização de medicamento fitoterápico como adjunto no tratamento de doença periodontal: Ensaio clínico randomizado, duplo-cego e controlado;Ciências da Saúde - Odontologia - Periodontia;Tipo de vínculo desconhecido;sim;ALINE CARVALHO BATISTA (DOCENTE - Colaborador), CAMILA ALVES COSTA DE OLIVEIRA (DOCENTE - Vice-coodernador), GABRIELA CAMILO SILVA (DISCENTE - Colaborador), HELISSA DE OLIVEIRA CARNEIRO (DISCENTE - Colaborador), JOAO ANTONIO CHAVES DE SOUZA (DOCENTE - Coordenador), JOÃO PAULO STEFFENS (EXTERNO - Colaborador), MARIZE CAMPOS VALADARES (DOCENTE - Colaborador), NADIA DO LAGO COSTA (DOCENTE - Colaborador), NARA LUIZA PEDROZA NASCIMENTO (DISCENTE - Colaborador), RUBELISA CANDIDO GOMES DE OLIVEIRA (EXTERNO - Vice-coodernador);01/02/2019 a 29/04/2022
PI03416-2019;UAE - DE ENGENHARIA - CATALÃO;ANÁLISE MULTIESCALA E O COMPORTAMENTO MECÂNICO DE MICROESTRUTURAS HETEROGÊNEAS;Engenharias - Engenharia Civil - Estruturas - Mecânica das Estruturas;Tipo de vínculo desconhecido;sim;DANNILO CARVALHO BORGES (DISCENTE - Colaborador), GABRIELA REZENDE FERNANDES (DOCENTE - Colaborador), GEOVANA ALVES RIBEIRO (DISCENTE - Colaborador), JOSE JULIO DE CERQUEIRA PITUBA (DOCENTE - Coordenador);01/03/2019 a 28/02/2022
PI03612-2019;FACULDADE DE DIREITO;AS POSSIBILIDADES DE CONSTITUIÇÃO DE UM PODER JUDICIÁRIO SOCIOAMBIENTAL A PARTIR DA TEORIA DE PIERRE BOURDIEU;Ciências Sociais Aplicadas - Direito - Direito Público - Direito Constitucional;Tipo de vínculo desconhecido;sim;JOSE QUERINO TAVARES NETO (DOCENTE - Coordenador);01/08/2019 a 31/07/2022
PI03434-2019;ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL;Conversas de Meninas e Engenheiras: semeando oportunidades para a igualdade de gênero nas ciências ;Engenharias - Engenharia Civil, Engenharias - Engenharia Sanitária, Ciências Humanas - Educação;Tipo de vínculo desconhecido;sim;ANDREIA AOYAGUI NASCIMENTO (DOCENTE - Colaborador), ANDRELISA SANTOS DE JESUS (DOCENTE - Vice-coodernador), CARMEM LUCIA TEIXEIRA (EXTERNO - Colaborador), JOSE CAMAPUM DE CARVALHO (EXTERNO - Colaborador), KARLA EMMANUELA RIBEIRO HORA (DOCENTE - Coordenador), KATIA ALCIONE KOPP (DOCENTE - Colaborador), LILIAN RIBEIRO DE REZENDE (DOCENTE - Colaborador), MARCIA HELENA MACEDO (DOCENTE - Colaborador), MARCIA MARIA DOS ANJOS MASCARENHA (DOCENTE - Vice-coodernador), MARIA CAROLINA GOMES DE OLIVEIRA BRANDSTETTER (DOCENTE - Colaborador), MARTA PEREIRA DA LUZ (EXTERNO - Colaborador), POLIANA DE SOUSA LEITE (DOCENTE - Colaborador), RITA DE CASSIA SILVA (DOCENTE - Colaborador), ROSANGELA NUNES ALMEIDA DE CASTRO (DOCENTE - Colaborador), SYLVIA REGINA MESQUITA DE ALMEIDA (DOCENTE - Colaborador);01/01/2019 a 30/11/2020
PI03543-2019;FACULDADE DE ENFERMAGEM;População Migrante e Refugiada em Situação de Vulnerabilidade de Goiás:  Epidemiologia das Infecções Sexualmente Transmissíveis, Hepatites Virais, Avaliação das Condições de Saúde e Violência;Ciências da Saúde - Enfermagem - Enfermagem de Doenças Contagiosas;Tipo de vínculo desconhecido;sim;BRUNA CAMPOS DA SILVA ALVES (DISCENTE - Colaborador), BRUNNA RODRIGUES DE OLIVEIRA (DISCENTE - Colaborador), CARLA DE ALMEIDA SILVA (DISCENTE - Colaborador), DIVÂNIA DIAS DA SILVA FRANÇA (EXTERNO - Colaborador), GABRIEL FRANCISCO DA SILVA FILHO (DISCENTE - Colaborador), GRAZIELLE ROSA DA COSTA E SILVA (DISCENTE - Colaborador), GRÉCIA CAROLINA PESSONI (EXTERNO - Colaborador), ISABELLA AMORIM DE ARAUJO PEREIRA (DISCENTE - Colaborador), JHENNIFER BUENO PEREIRA DE SOUZA (DISCENTE - Colaborador), KAIQUE DUARTE CAVALCANTE SILVA (DISCENTE - Colaborador), KAMILA CARDOSO DOS SANTOS (DISCENTE - Colaborador), KARINE ALVES CUNHA (DISCENTE - Colaborador), KARLLA ANTONIETA AMORIM CAETANO (DOCENTE - Coordenador), LARISSA SILVA MAGALHÃES (DISCENTE - Colaborador), LAYS ROSA CAMPOS (DISCENTE - Colaborador), LEANDRO NASCIMENTO DA SILVA (EXTERNO - Colaborador), LEONORA REZENDE PACHECO (DOCENTE - Colaborador), LUANA ROCHA DA CUNHA ROSA (DISCENTE - Colaborador), MARCIA MARIA DE SOUZA (DOCENTE - Colaborador), MARGARETH SANTOS ZANCHETTA (EXTERNO - Colaborador), MEGMAR APARECIDA DOS SANTOS CARNEIRO (DOCENTE - Colaborador), PAULIE MARCELLY RIBEIRO DOS SANTOS CARVALHO (DISCENTE - Colaborador), RAQUEL SILVA PINHEIRO (EXTERNO - Colaborador), RAYANNE FERREIRA SALES (DISCENTE - Colaborador), REGINA MARIA BRINGEL MARTINS (DOCENTE - Colaborador), SHEILA ARAUJO TELES (DOCENTE - Vice-coodernador), TAINA ROSA TAVARES (DISCENTE - Colaborador), THAYNARA LORRANE SILVA MARTINS (DISCENTE - Colaborador), THIAGO GUIDA DE MENEZES (EXTERNO - Colaborador), VICTOR DE JESUS FLORENTINO (DISCENTE - Colaborador), WINNY EVENY ALVES MOURA (DISCENTE - Colaborador);01/01/2019 a 31/12/2023
PI03728-2019;PRÓ REITORIA DE PÓS-GRADUAÇÃO;APRIMORAMENTO DA PLATAFORMA PASTAGEM.ORG;Ciências Exatas e da Terra - Geociências - Geofísica - Sensoriamento Remoto;Tipo de vínculo desconhecido;sim;JOÃO VÍTOR SILVA COSTA (EXTERNO - Colaborador), LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Coordenador);01/03/2019 a 28/06/2019
PI03742-2019;PRÓ REITORIA DE PÓS-GRADUAÇÃO;Mapeamento e Monitoramento das Pastagens Brasileiras e áreas desmatadas em uma base anual;Ciências Exatas e da Terra - Geociências - Geofísica - Sensoriamento Remoto;Tipo de vínculo desconhecido;sim;ANA PAULA MATOS E SILVA (DISCENTE - Colaborador), ANDRESSA GONCALVES ARAUJO (DISCENTE - Colaborador), CHARLES VINÍCIUS GONÇALVES TIARINI (DISCENTE - Colaborador), EVANDRO CARRIJO TAQUARY (DISCENTE - Colaborador), LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Coordenador), LEANDRO LEAL PARENTE (DISCENTE - Vice-coodernador), LUIS RODRIGO FERNANDES BAUMANN (DOCENTE - Colaborador), MAIKY NATA MOTA RIBEIRO (DISCENTE - Colaborador), PAULO CESAR SILVA MAIA (DISCENTE - Colaborador), ROBERTO DE URZEDA PAIVA (SERVIDOR - Colaborador), TAMIRES ADILA BAHIA MODANEZ (DISCENTE - Colaborador), VINÍCIUS VIEIRA MESQUITA (DISCENTE - Colaborador);01/04/2019 a 30/06/2020
PI03695-2019;ESCOLA DE AGRONOMIA;VARIAÇÃO GENÉTICA QUANTITATIVA E MOLECULAR DE COLEÇÃO DE GERMOPLASMA DE JATOBÁ-DO-CERRADO ;Ciências Agrárias - Agronomia - Fitotecnia - Melhoramento Vegetal;Tipo de vínculo desconhecido;sim;ARIANY ROSA GONÇALVES (DISCENTE - Colaborador), LAMARTINE NOGUEIRA GONZAGA (SERVIDOR - Colaborador), LAZARO JOSE CHAVES (DOCENTE - Coordenador), MARIANA PIRES DE CAMPOS TELLES (DOCENTE - Colaborador), RONALDO VELOSO NAVES (DOCENTE - Colaborador), THANNYA NASCIMENTO SOARES (DOCENTE - Colaborador), VELMA LÚCIA TAVARES SILVA (DISCENTE - Colaborador);01/01/2019 a 31/12/2022
PI03247-2019;MUSEU ANTROPOLOGICO;Thesaurus Karajá: diálogos interculturais e museologia compartilhada;Ciências Humanas - Antropologia;Tipo de vínculo desconhecido;sim;DIEGO TEIXEIRA MENDES (SERVIDOR - Colaborador), EDMUNDO MARCELO MENDES PEREIRA (EXTERNO - Colaborador), GEORGE MICHAEL LAMUNIER DA SILVA (DISCENTE - Colaborador), IAN BORGES DEL AGUILA (DISCENTE - Colaborador), LUCAS VELOSO YABAGATA (DISCENTE - Colaborador), MANUEL FERREIRA LIMA FILHO (DOCENTE - Coordenador), MARIA DO SOCORRO PIMENTEL DA SILVA (DOCENTE - Colaborador), MARILIA CAETANO RODRIGUES MORAIS (EXTERNO - Colaborador), TATYANA BELTRAO DE OLIVEIRA (SERVIDOR - Colaborador), VANUZA HAUKUI DE MOURA KARAJA (DISCENTE - Colaborador);01/03/2019 a 01/08/2022
PI03221-2019;ESCOLA DE AGRONOMIA;CARACTERIZACAO FENOTIPICA E ANÁLISE DE ASSOCIAÇÃO PARA A RESISTÊNCIA Á FITONEMATOIDES EM FEIJOEIRO COMUM;Ciências Biológicas - Genética - Genética Vegetal, Ciências Agrárias - Agronomia - Fitossanidade - Parasitologia Agrícola;Com Programa de Pós-graduação da UFG;sim;ANA CAROLINNE SAMPAIO MENDES (DISCENTE - Colaborador), FRANCIELE ALVES CARNEIRO (EXTERNO - Colaborador), HERIKSEN HIGASHI PUERARI (EXTERNO - Colaborador), JANAÍNA ALVES DE ALMEIDA MOREIRA (DISCENTE - Colaborador), LEONARDO LEVORATO FREIRE (DISCENTE - Colaborador), MARA RUBIA DA ROCHA (DOCENTE - Coordenador), ROSANA PEREIRA VIANELLO BRONDANI (EXTERNO - Colaborador), THIAGO LIVIO PESSOA OLIVEIRA DE SOUZA (EXTERNO - Colaborador);01/01/2019 a 31/12/2026
PI03381-2019;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Rotavírus A: epidemiologia molecular, mecanismos evolutivos e potencial zoonótico em amostras fecais de humanos e de animais de produção e de companhia, apresentando ou não gastroenterite aguda;Ciências Biológicas - Microbiologia - Biologia e Fisiologia dos Microorganismos - Virologia;Tipo de vínculo desconhecido;sim;ADILSON DONIZETI DAMASCENO (DOCENTE - Colaborador), ANTONIO DIONISIO FEITOSA NORONHA FILHO (DOCENTE - Colaborador), FABIOLA SOUZA FIACCADORI (DOCENTE - Colaborador), FERNANDA CRAVEIRO FRANCO (SERVIDOR - Colaborador), GLADSTHON DIVINO DE SOUSA FILHO (DISCENTE - Colaborador), MARCELLE FIGUEIRA MARQUES DA SILVA (DOCENTE - Coordenador), MENIRA BORGES DE LIMA DIAS E SOUZA (DOCENTE - Colaborador);01/03/2019 a 31/12/2021
PI03677-2019;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIA E TECNOLOGIA DE ALIMENTOS;CARACTERIZAÇÃO E MODIFICAÇÃO FÍSICA POR UMIDADE E CALOR DO AMIDO DE CARÁ (DIOSCOREA ALATA L.)  E QUALIDADE DE PÃES ELABORADOS A PARTIR DA FARINHA DO BAGAÇO DA EXTRAÇÃO;Ciências Agrárias - Ciência e Tecnologia de Alimentos - Tecnologia de Alimentos - Tecnologia de Produtos de Origem Vegetal;Tipo de vínculo desconhecido;sim;ALLINE EMANNUELE CHAVES RIBEIRO (EXTERNO - Colaborador), ARYANE RIBEIRO OLIVEIRA (DISCENTE - Colaborador), ÉRICA RESENDE DE OLIVEIRA (EXTERNO - Colaborador), MANOEL SOARES SOARES JUNIOR (DOCENTE - Colaborador), MARCIO CALIARI (DOCENTE - Coordenador);15/04/2019 a 23/12/2022
PI03433-2019;UAE REJ CIÊNCIAS HUMANAS E LETRAS;Imagens urbanas de Goyaz: olhares sobre as narrativas dos naturalistas-viajantes do século XIX.;Ciências Humanas - História - História do Brasil - História do Brasil Império;Tipo de vínculo desconhecido;sim;MARCOS ANTONIO DE MENEZES (DOCENTE - Coordenador);26/03/2019 a 26/03/2022
PI03101-2019;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;Síntese e caracterização de nanopartículas magnéticas e desenvolvimento de filmes finos para biosensores;Ciências Exatas e da Terra - Física - Física da Matéria Condensada - Materiais Magnéticos e Propriedades Magnéticas;Sem Vínculo (Projeto Isolado);sim;ALESSANDRO MARTINS (DOCENTE - Colaborador), ALEXANDRE PANCOTTI (DOCENTE - Colaborador), GUILHERME DO NASCIMENTO FERREIRA (DISCENTE - Colaborador), MARCOS ANTONIO DE SOUSA (DOCENTE - Coordenador), WILLIAN EDGARDO ALAYO RODRIGUEZ (EXTERNO - Colaborador);18/02/2019 a 28/02/2022
PI03224-2019;FACULDADE DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;Métodos econométricos aplicados a problemas de desempenho mercadológico no Brasil;Ciências Sociais Aplicadas - Administração - Administração de Empresas - Mercadologia;Com Programa de Pós-graduação da UFG;sim;LUIZ PAULO LOPES FAVERO (EXTERNO - Colaborador), MARCOS INACIO SEVERO DE ALMEIDA (DOCENTE - Coordenador), RAFAEL BARREIROS PORTO (EXTERNO - Colaborador), VALTER AFONSO VIEIRA (EXTERNO - Colaborador);01/01/2019 a 29/01/2021
PI03353-2019;INSTITUTO DE CIENCIAS BIOLOGICAS;BIODIVERSIDADE, ENDEMISMO E CONSERVAÇÃO NA RESERVA PARTICULAR DE  DESENVOLVIMENTO SUSTENTÁVEL LEGADO VERDES DO CERRADO,  NIQUELÂNDIA, GOIÁS, BRASIL;Ciências Biológicas - Botânica - Taxonomia Vegetal - Taxonomia de Fanerógamos;Tipo de vínculo desconhecido;sim;ALEXANDRE ANTONIO ALONSO (DOCENTE - Vice-coodernador), ANA PAULA FORTUNA PEREZ (EXTERNO - Colaborador), ARTHUR ANGELO BISPO DE OLIVEIRA (EXTERNO - Colaborador), CARLOS ABS DA CRUZ BIANCHI (DOCENTE - Colaborador), DANIEL DE PAIVA SILVA (EXTERNO - Colaborador), FAUSTO NOMURA (DOCENTE - Colaborador), INA DE SOUZA NOGUEIRA (DOCENTE - Colaborador), JASCIELI CARLA BORTOLINI (DOCENTE - Colaborador), MARCOS JOSE DA SILVA (DOCENTE - Coordenador), NATAN MEDEIROS MACIEL (DOCENTE - Colaborador), ROGERIO PEREIRA BASTOS (DOCENTE - Colaborador), SARAH SIQUEIRA DE OLIVEIRA (DOCENTE - Colaborador), WELINTON RIBAMAR LOPES (DOCENTE - Colaborador);01/09/2018 a 31/08/2020
PI03461-2019;FACULDADE DE CIÊNCIAS E TECNOLOGIA;ESTIMATIVA DA LOTAÇÃO DE SISTEMAS DE TRANSPORTES ATRAVÉS DE SINAIS WI-FI E APRENDIZADO DE MÁQUINA;Ciências Exatas e da Terra - Ciência da Computação - Metodologia e Técnicas da Computação - Sistemas de Informação, Engenharias - Engenharia de Transportes - Planejamento de Transportes - Planejamento e Organização do Sistema de Transporte, Engenharias - Engenharia de Transportes - Veículos e Equipamentos de Controle - Equipamentos Auxiliares e Controles;Tipo de vínculo desconhecido;sim;MARCOS PAULINO RORIZ JUNIOR (DOCENTE - Coordenador), RONNY MARCELO ALIAGA MEDRANO (DOCENTE - Colaborador);29/03/2019 a 29/03/2022
PI03165-2019;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;A informação, a comunicação e os museus do século XXI: Utilizando a gestão da informação e da comunicação para potencializar a construção da cidadania e otimizar os recursos públicos investidos em museus universitários.  ;Ciências Sociais Aplicadas - Ciência da Informação, Ciências Sociais Aplicadas - Comunicação - Relações Públicas e Propaganda;Sem Vínculo (Projeto Isolado);sim;ARNALDO ALVES FERREIRA JUNIOR (DOCENTE - Vice-coodernador), LETICIA SEGURADO CORTES (DOCENTE - Vice-coodernador), MARINA RORIZ RIZZO LOUSA DA CUNHA (DOCENTE - Coordenador);01/03/2019 a 30/06/2020
PI03273-2019;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;O que acontecerá com os serviços ecossistêmicos sob cenários futuros de mudança climática global? Avaliando a rede de interações planta-polinizador-dispersor no cerrado ao final do século XXI;Ciências Biológicas - Ecologia - Ecologia Teórica;Com Programa de Pós-graduação da UFG;sim;CHRISTIANO PERES COELHO (DOCENTE - Colaborador), DIEGO ISMAEL ROCHA (DOCENTE - Colaborador), FREDERICO AUGUSTO GUIMARAES GUILHERME (DOCENTE - Colaborador), HELENA PICCOLI ROMANOWSKI (EXTERNO - Colaborador), JOSE ALEXANDRE FELIZOLA DINIZ FILHO (DOCENTE - Colaborador), LEVI CARINA TERRIBILE (DOCENTE - Colaborador), MARLON ZORTEA (DOCENTE - Colaborador), MATHEUS DE SOUZA LIMA RIBEIRO (DOCENTE - Coordenador), RAFAEL DIAS LOYOLA (DOCENTE - Colaborador), WELLINGTON HANNIBAL (EXTERNO - Colaborador);15/02/2019 a 31/12/2025
PI03760-2019;FACULDADE DE ADMINISTRAÇÃO, CONTABILIDADE E ECONOMIA;DETECÇÃO DE INDÍCIOS DE FRAUDES CORPORATIVAS EM COMPANHIAS DE CAPITAL ABERTO INVESTIGADAS PELA OPERAÇÃO LAVA JATO A LUZ DO TRIANGULO DE CRESSEY (1953);Ciências Sociais Aplicadas - Administração - Ciências Contábeis;Tipo de vínculo desconhecido;sim;CAMILA ARAUJO MACHADO (DOCENTE - Colaborador), ERCILIO ZANOLLA (DOCENTE - Colaborador), IVAN RICARDO GARTNER (EXTERNO - Colaborador), LUCIO DE SOUZA MACHADO (DOCENTE - Vice-coodernador), MICHELE RILANY RODRIGUES MACHADO (DOCENTE - Coordenador);01/04/2019 a 31/10/2021
PI03335-2019;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;EFEITOS IN VITRO E IN VIVO DO ÓLEO ESSENCIAL DE  EREMANTHUS ERYTHROPAPPUS RICO EM ALFA-BISABOLOL E DO ALFA-BISABOLOL  ISOLADO SOBRE A RESPOSTA IMUNE DE CAMUNDONGOS PORTADORES DE  ENCEFALOMIELITE EXPERIMENTAL AUTOIMUNE;Ciências Biológicas - Farmacologia - Neuropsicofarmacologia;Tipo de vínculo desconhecido;sim;ALESSANDRO DOS SANTOS FARIAS (EXTERNO - Colaborador), ANA PAULA DA SILVA PEREZ (DOCENTE - Colaborador), CLAUDINEI ALVES DA SILVA (DOCENTE - Colaborador), DANIELA DE MELO E SILVA (DOCENTE - Colaborador), FELIPE DE ARAÚJO NASCIMENTO (DISCENTE - Colaborador), IASMIN RAMOS DA SILVA (DISCENTE - Colaborador), JULIA DE MIRANDA MORAES (DOCENTE - Colaborador), MARIANA CRISTINA TEIXEIRA DE MOURA (DISCENTE - Colaborador), MARIZE CAMPOS VALADARES (DOCENTE - Colaborador), MICHELLE ROCHA PARISE (DOCENTE - Coordenador), OTÁVIO HENRIQUE BENTIVOGLIO DE MENEZES PEREIRA (DISCENTE - Colaborador);01/03/2019 a 01/03/2022
PI03429-2019;FACULDADE DE CIENCIAS SOCIAIS;O pensamento de Sandra Jatahy Pesavento e sua importância na historiografia brasileira: da história econômica à História Cultural  um estudo a partir do arquivo pessoal da historiadora;Ciências Humanas - História;Tipo de vínculo desconhecido;sim;LUANA LOPES XAVIER (DISCENTE - Colaborador), NADIA MARIA WEBER SANTOS (DOCENTE - Coordenador), ROBERTO ABDALA JUNIOR (DOCENTE - Colaborador), ROBSON CORREA DE CAMARGO (DOCENTE - Colaborador), VANIA DOLORES ESTEVAM DE OLIVEIRA (DOCENTE - Colaborador);27/02/2019 a 28/02/2022
PI03517-2019;FACULDADE DE CIENCIAS SOCIAIS;CARTOGRAFIA DE PROTESTOS: Memória e historicidade nas performances de manifestações públicas;Ciências Humanas - História - História do Brasil;Tipo de vínculo desconhecido;sim;NADIA MARIA WEBER SANTOS (DOCENTE - Coordenador);27/02/2019 a 28/02/2022
PI03188-2019;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;Desenvolvimento de modelo preditivo de risco  de incêndio florestal para o território  Quilombola Kalunga (GO);Ciências Exatas e da Terra - Geociências - Geografia Física - Geocartografia;Tipo de vínculo desconhecido;sim;AUGUSTO AVELINO DE ARAÚJO LIMA (EXTERNO - Colaborador), CLAUDIA VALERIA DE LIMA (DOCENTE - Colaborador), ELAINE BARBOSA DA SILVA (DOCENTE - Colaborador), ELIAS GONÇALVES DA SILVA NETO (DISCENTE - Colaborador), FERNANDO MOREIRA DE ARAÚJO (DOCENTE - Colaborador), GUILHERME CAMARGO OLIVEIRA (EXTERNO - Colaborador), LAERTE GUIMARAES FERREIRA JUNIOR (DOCENTE - Colaborador), LUCIANA GONCALVES TIBIRICA (DOCENTE - Colaborador), MANUEL EDUARDO FERREIRA (DOCENTE - Colaborador), MAXWELL ANTONIO DA PENHA ARAUJO (EXTERNO - Colaborador), NILSON CLEMENTINO FERREIRA (DOCENTE - Vice-coodernador), NOELY VICENTE RIBEIRO (DOCENTE - Coordenador), RHERISON TYRONE SILVA ALMEIDA (DOCENTE - Colaborador);01/01/2019 a 01/01/2022
